ID,F1_of_all,F2_of_all,F3_of_all,F4_of_all,F5_of_all,F6_of_all,F1_of_first_five,F2_of_first_five,F3_of_first_five,F4_of_first_five,F5_of_first_five,F6_of_first_five,F1_of_the_rest,F2_of_the_rest,F3_of_the_rest,F4_of_the_rest,F5_of_the_rest,F6_of_the_rest,Mw,charge_of_all,charge_of_first_five,charge_of_the_rest,positive_charge,negative_charge,polar_number,unpolar_number,unpolar_ratio,ph_number,length,hydrophobicity,jinpu_ug_ml,jinpu_uM,dachang_ug_ml,dachang_uM
101,-0.739,0.067,-0.546,0.104,0.369,-0.554,-0.767,0.176,-0.225,0.095,0.197,-0.504,-0.519,0.092,-0.363,0.094,0.307,-0.322,1426.1,4,1,3,4,0,5,7,0.583,1,12,-0.16,70.121,100.0,19.844,28.3
102,-0.743,-0.05,-0.755,0.11,0.398,-0.618,-0.767,0.176,-0.225,0.095,0.197,-0.504,-0.526,-0.109,-0.721,0.105,0.357,-0.431,1402.1,3,1,2,3,0,4,8,0.667,1,12,-0.066,6.562,9.2,2.639,3.7
103,-0.671,0.058,-0.674,0.058,0.453,-0.494,-0.767,0.176,-0.225,0.095,0.197,-0.504,-0.403,0.076,-0.581,0.016,0.452,-0.219,1482.2,4,1,3,4,0,5,7,0.583,1,12,-0.112,2.496,3.7,1.552,2.3
104,-0.696,-0.083,-0.622,0.08,0.497,-0.525,-0.629,-0.097,-0.288,0.006,0.488,-0.159,-0.545,0.029,-0.447,0.117,0.32,-0.518,1452.2,4,2,2,4,0,4,8,0.667,1,12,-0.078,5.784,8.4,1.239,1.8
105,-0.743,0.062,-0.592,0.103,0.302,-0.67,-0.74,0.251,-0.217,0.059,0.019,-0.508,-0.545,0.029,-0.447,0.117,0.32,-0.518,1408.1,4,2,2,4,0,5,7,0.583,1,12,-0.121,16.547,23.3,2.628,3.7
106,-0.671,0.058,-0.674,0.058,0.453,-0.494,-0.568,0.243,-0.413,-0.047,0.381,-0.086,-0.545,0.029,-0.447,0.117,0.32,-0.518,1482.2,4,2,2,4,0,5,7,0.583,1,12,-0.112,28.134,41.7,4.25,6.3
107,-0.686,-0.164,-0.782,0.073,0.519,-0.474,-0.629,-0.097,-0.288,0.006,0.488,-0.159,-0.526,-0.109,-0.721,0.105,0.357,-0.431,1443.2,4,2,2,4,0,4,8,0.667,1,12,-0.136,10.394,15.0,1.594,2.3
108,-0.732,-0.019,-0.752,0.096,0.324,-0.62,-0.74,0.251,-0.217,0.059,0.019,-0.508,-0.526,-0.109,-0.721,0.105,0.357,-0.431,1399.1,4,2,2,4,0,5,7,0.583,1,12,-0.179,15.51,21.7,1.644,2.3
109,-0.685,-0.052,-0.619,0.065,0.423,-0.526,-0.602,-0.022,-0.28,-0.03,0.31,-0.163,-0.545,0.029,-0.447,0.117,0.32,-0.518,1449.2,5,3,2,5,0,5,7,0.583,1,12,-0.191,19.528,28.3,1.863,2.7
110,-0.674,-0.132,-0.778,0.058,0.445,-0.476,-0.602,-0.022,-0.28,-0.03,0.31,-0.163,-0.526,-0.109,-0.721,0.105,0.357,-0.431,1440.2,5,3,2,5,0,5,7,0.583,1,12,-0.249,41.661,60.0,1.25,1.8
111,-0.783,-0.152,-0.598,0.143,0.448,-0.768,-0.767,0.176,-0.225,0.095,0.197,-0.504,-0.595,-0.285,-0.451,0.161,0.443,-0.688,1371.0,2,1,1,2,0,3,9,0.75,1,12,0.02,10.0,10.0,21.882,30.0
112,-0.711,-0.044,-0.516,0.091,0.503,-0.644,-0.767,0.176,-0.225,0.095,0.197,-0.504,-0.472,-0.099,-0.311,0.071,0.537,-0.475,1451.1,3,1,2,3,0,4,8,0.667,1,12,-0.027,10.0,10.0,13.783,20.0
113,-0.78,-0.039,-0.404,0.136,0.397,-0.726,-0.767,0.176,-0.225,0.095,0.197,-0.504,-0.545,0.029,-0.447,0.117,0.32,-0.518,1395.0,3,1,2,3,0,4,8,0.667,1,12,-0.058,10.0,10.0,17.921,25.0
114,-0.737,-0.186,-0.464,0.113,0.547,-0.674,-0.725,-0.342,0.09,0.083,0.608,-0.518,-0.545,0.029,-0.447,0.117,0.32,-0.518,1421.1,3,1,2,3,0,3,9,0.75,1,12,0.008,52.776,75.0,23.433,33.3
115,-0.752,0.038,-0.565,0.118,0.419,-0.625,-0.767,0.176,-0.225,0.095,0.197,-0.504,-0.543,0.035,-0.421,0.118,0.357,-0.48,1411.1,3,1,2,3,0,4,8,0.667,1,12,-0.041,5.457,7.7,2.339,3.3
116,-0.74,0.035,-0.688,0.064,0.287,-0.761,-0.874,0.149,-0.273,0.155,0.021,-1.082,-0.444,0.056,-0.572,-0.017,0.293,-0.263,1406.1,3,0,3,3,0,4,8,0.667,1,12,0.066,7.539,10.6,2.631,3.7
117,-0.74,0.035,-0.688,0.064,0.287,-0.761,-0.874,0.149,-0.273,0.155,0.021,-1.082,-0.444,0.056,-0.572,-0.017,0.293,-0.263,1406.1,3,0,3,3,0,4,8,0.667,1,12,0.066,26.101,36.7,8.89,12.5
118,-0.726,0.068,-0.654,0.051,0.258,-0.668,-0.84,0.228,-0.191,0.122,-0.048,-0.86,-0.444,0.056,-0.572,-0.017,0.293,-0.263,1421.1,4,1,3,4,0,5,7,0.583,1,12,-0.07,70.368,100.0,12.033,17.1
119,-0.707,-0.109,-0.694,0.051,0.387,-0.664,-0.796,-0.198,-0.286,0.122,0.261,-0.85,-0.444,0.056,-0.572,-0.017,0.293,-0.263,1420.2,4,1,3,4,0,4,8,0.667,1,12,0.028,8.238,11.7,2.605,3.7
120,-0.657,0.063,-0.767,0.005,0.364,-0.586,-0.675,0.216,-0.461,0.013,0.206,-0.663,-0.444,0.056,-0.572,-0.017,0.293,-0.263,1477.2,4,1,3,4,0,5,7,0.583,1,12,-0.039,3.588,5.3,1.557,2.3
121,-0.674,0.075,-0.72,0.015,0.337,-0.567,-0.715,0.245,-0.348,0.036,0.139,-0.617,-0.444,0.056,-0.572,-0.017,0.293,-0.263,1463.2,4,1,3,4,0,5,7,0.583,1,12,-0.047,5.946,8.7,2.734,4.0
122,-0.729,-0.045,-0.848,0.057,0.309,-0.71,-0.874,0.149,-0.273,0.155,0.021,-1.082,-0.426,-0.082,-0.846,-0.029,0.33,-0.177,1397.1,3,0,3,3,0,4,8,0.667,1,12,0.008,5.225,7.3,3.078,4.3
123,-0.725,0.072,-0.64,0.051,0.28,-0.646,-0.874,0.149,-0.273,0.155,0.021,-1.082,-0.418,0.119,-0.488,-0.04,0.28,-0.067,1421.1,4,0,4,4,0,5,7,0.583,1,12,-0.087,70.368,100.0,49.258,70.0
124,-0.659,0.108,-0.686,0.001,0.308,-0.475,-0.68,0.325,-0.267,0.003,0.07,-0.395,-0.444,0.056,-0.572,-0.017,0.293,-0.263,1478.2,5,2,3,5,0,6,6,0.5,1,12,-0.182,51.887,76.7,7.644,11.3
125,-0.643,0.096,-0.733,-0.009,0.335,-0.494,-0.641,0.295,-0.379,-0.02,0.136,-0.441,-0.444,0.056,-0.572,-0.017,0.293,-0.263,1492.2,5,2,3,5,0,6,6,0.5,1,12,-0.175,43.56,65.0,5.227,7.8
126,-0.795,0.014,-0.63,0.092,0.271,-0.847,-0.874,0.149,-0.273,0.155,0.021,-1.082,-0.507,0.032,-0.506,0.015,0.274,-0.362,1364.1,3,0,3,3,0,4,8,0.667,1,12,0.018,10.0,10.0,65.978,90.0
127,-0.67,0.092,-0.108,-0.025,0.42,-0.461,-0.874,0.149,-0.273,0.155,0.021,-1.082,-0.365,0.122,0.091,-0.119,0.445,0.08,1508.1,3,0,3,3,0,4,8,0.667,4,12,0.036,14.389,21.7,3.315,5.0
128,-0.737,0.046,-0.644,0.066,0.352,-0.695,-0.874,0.149,-0.273,0.155,0.021,-1.082,-0.441,0.069,-0.521,-0.015,0.367,-0.188,1406.1,3,0,3,3,0,4,8,0.667,1,12,0.016,4.765,6.7,2.703,3.8
129,-0.546,0.123,0.059,-0.06,0.35,-0.475,-0.874,0.149,-0.273,0.155,0.021,-1.082,-0.222,0.157,0.282,-0.159,0.365,0.063,1625.1,3,0,3,3,0,4,8,0.667,4,12,-0.024,12.307,20.0,4.43,7.2
130,-0.842,-0.163,-0.792,0.166,0.3,-0.831,-0.769,0.006,-1.033,0.048,0.266,-0.599,-0.191,-0.07,-0.165,0.033,0.114,-0.151,2755.3,6,1,2,7,1,13,12,0.48,0,25,-0.163,10.0,10.0,22.974,63.3
131,-0.831,-0.159,-0.801,0.175,0.334,-0.83,-0.769,0.006,-1.033,0.048,0.266,-0.599,-0.191,-0.07,-0.165,0.033,0.114,-0.151,2783.3,6,1,2,7,1,13,12,0.48,0,25,-0.191,10.0,10.0,11.677,32.5
132,-0.7,-0.161,-1.068,0.079,0.564,-0.7,-0.671,-0.42,-0.936,0.115,0.822,-0.818,-0.448,-0.132,-0.878,-0.004,0.417,-0.297,1407.2,3,1,2,3,0,4,8,0.667,0,12,-0.002,12.5,17.59,25.0,35.18
133,-0.678,-0.261,-0.615,0.041,0.719,-0.509,-0.668,-0.385,-0.388,-0.0,0.81,-0.535,-0.511,-0.133,-0.447,0.077,0.483,-0.418,1445.2,3,1,1,3,0,3,9,0.75,2,12,-0.003,3.13,4.523,12.5,18.065
134,-0.965,0.079,-0.769,0.218,0.052,-0.98,-0.949,-0.103,-0.498,0.15,0.206,-1.052,-0.214,0.02,-0.1,0.077,-0.049,-0.245,3319.3,3,-1,0,5,2,13,20,0.606,1,33,-0.023,37.5,124.474,10.0,10.0
135,-0.638,0.157,-0.624,0.036,0.415,-0.553,-0.62,0.123,-0.736,0.128,0.716,-0.492,-0.322,0.107,-0.255,0.041,0.02,-0.395,2401.3,6,2,0,6,0,10,9,0.474,3,19,-0.309,32.0,76.842,32.0,76.842
136,-0.696,0.121,-0.672,0.105,0.419,-0.578,-0.509,0.127,-0.862,0.066,0.802,-0.297,-0.277,0.023,-0.001,0.059,0.122,-0.243,2435.5,7,3,2,7,0,10,10,0.5,2,20,-0.257,10.0,10.0,64.0,155.872
137,-0.593,0.306,-0.568,0.059,0.566,-0.393,-0.786,0.506,-0.593,0.113,0.15,-0.762,-0.187,0.23,-0.236,-0.012,0.173,-0.059,2653.5,6,1,1,6,0,12,8,0.4,4,20,-0.485,128.0,339.648,64.0,169.824
138,-0.611,0.208,-0.395,0.027,0.506,-0.326,-0.962,0.22,-0.562,0.203,0.052,-1.145,-0.163,0.037,-0.001,-0.03,0.288,-0.033,2599.7,9,1,2,9,0,12,8,0.4,4,20,-0.345,10.0,10.0,64.0,166.381
139,-0.504,0.15,-0.518,-0.008,0.643,-0.259,-0.766,0.417,-1.055,0.159,0.34,-0.594,-0.266,-0.015,-0.455,-0.021,0.6,-0.049,1666.2,4,1,3,4,0,6,6,0.5,3,12,-0.355,128.0,213.274,64.0,106.637
140,-0.643,0.275,-0.442,0.087,0.322,-0.579,-0.389,-0.05,0.039,-0.077,0.615,-0.246,-0.351,0.316,-0.342,0.093,-0.08,-0.364,2310.0,5,2,1,5,0,10,8,0.444,4,18,-0.355,128.0,295.68,64.0,147.84
141,-0.6,-0.073,-0.741,0.103,0.749,-0.564,-0.686,0.503,-1.132,0.166,0.281,-0.641,-0.252,-0.149,-0.148,0.031,0.304,-0.275,2450.4,7,2,1,7,0,9,10,0.526,2,19,-0.462,10.0,10.0,256.0,627.302
142,-0.646,0.2,-0.504,0.002,0.307,-0.46,-0.767,0.079,-1.202,0.082,0.241,-0.814,-0.19,0.188,0.106,-0.024,0.172,-0.091,2265.3,5,1,2,5,0,9,9,0.5,4,18,-0.083,32.0,72.49,256.0,579.917
143,-0.484,0.153,-0.302,0.026,0.504,-0.305,-0.349,0.306,-0.095,-0.127,0.602,-0.241,-0.299,0.074,-0.185,0.075,0.094,-0.339,2395.1,6,1,1,6,0,10,7,0.412,5,17,-0.499,64.0,153.286,256.0,613.146
144,-0.843,-0.078,-0.962,0.137,0.366,-0.969,-0.804,-0.536,-0.923,0.125,0.708,-1.119,-0.477,0.06,-0.706,0.053,0.215,-0.443,1393.2,1,0,1,1,0,3,10,0.769,0,13,0.195,4.307,6.0,15.073,21.0
146,-0.897,-0.202,-0.635,0.19,0.333,-0.904,-0.969,-0.273,-0.39,0.206,0.321,-1.014,-0.271,0.055,-0.341,0.046,0.037,-0.218,2112.3,3,0,2,3,0,6,14,0.7,2,20,0.097,8.048,17.0,1.894,4.0
147,-0.922,-0.08,-0.721,0.201,0.203,-0.917,-0.903,-0.078,-0.509,0.129,0.271,-0.93,-0.247,-0.08,-0.063,0.082,0.031,-0.276,2787.4,4,-1,1,5,1,10,17,0.63,1,27,-0.027,14.35,40.0,0.718,2.0
149,-0.809,-0.085,-0.643,0.094,0.434,-0.866,-0.649,-0.427,-0.041,-0.04,0.934,-0.569,-0.506,0.044,-0.7,0.066,0.174,-0.519,1448.2,1,0,1,1,0,3,10,0.769,2,13,0.228,55.241,80.0,10.0,10.0
151,-0.872,-0.193,-0.668,0.172,0.404,-0.88,-0.695,-0.459,-0.396,0.035,0.988,-0.531,-0.202,0.048,-0.282,0.031,0.033,-0.154,2583.0,3,0,2,3,0,7,17,0.708,2,24,0.116,3.097,8.0,6.194,16.0
152,-0.958,0.123,-0.669,0.218,0.048,-0.978,-0.964,0.021,-0.978,0.225,0.108,-1.18,-0.158,0.138,-0.133,0.039,-0.061,-0.176,3751.6,5,0,0,6,1,15,22,0.595,2,37,-0.014,0.8,3.0,1.599,6.0
153,-0.946,-0.03,-0.789,0.203,0.085,-0.965,-1.061,0.229,-0.827,0.257,-0.197,-1.294,-0.179,0.021,-0.163,0.048,-0.011,-0.186,3292.1,4,-1,1,7,3,14,18,0.562,1,32,-0.09,3.341,11.0,1.215,4.0
154,-0.97,0.102,-0.89,0.224,0.005,-1.085,-1.067,0.374,-0.833,0.281,-0.253,-1.304,-0.179,0.021,-0.163,0.048,-0.011,-0.186,3202.0,4,0,1,5,1,14,18,0.562,0,32,-0.024,1.249,4.0,1.249,4.0
155,-0.871,-0.246,-0.91,0.171,0.455,-0.972,-0.804,-0.536,-0.923,0.125,0.708,-1.119,-0.515,-0.152,-0.629,0.086,0.282,-0.489,1368.2,1,0,1,1,0,2,11,0.846,0,13,0.243,43.853,60.0,10.0,10.0
156,-0.808,0.139,-0.907,0.091,0.266,-0.746,-0.915,0.436,-0.514,0.125,-0.017,-0.947,-0.414,-0.109,-0.555,0.046,0.28,-0.241,1576.3,2,0,2,2,0,5,9,0.643,1,14,0.048,30.451,48.0,10.0,10.0
157,-0.777,-0.122,-0.738,0.084,0.491,-0.89,-0.705,-0.473,-0.505,0.032,0.828,-0.809,-0.533,-0.037,-0.412,0.095,0.217,-0.598,1476.3,1,0,1,1,0,2,11,0.846,1,13,0.346,84.671,125.0,10.0,10.0
158,-0.838,-0.22,-0.485,0.137,0.415,-0.799,-0.651,-0.436,-0.077,-0.041,0.883,-0.622,-0.212,0.063,-0.257,0.038,0.012,-0.155,2646.0,4,0,2,4,0,7,17,0.708,4,24,0.1,0.756,2.0,10.0,10.0
159,-0.838,-0.22,-0.485,0.137,0.415,-0.799,-0.651,-0.436,-0.077,-0.041,0.883,-0.622,-0.212,0.063,-0.257,0.038,0.012,-0.155,2646.0,4,0,2,4,0,7,17,0.708,4,24,0.1,0.378,1.0,1.134,3.0
160,-0.875,-0.231,-0.541,0.17,0.364,-0.889,-0.83,-0.49,-0.348,0.117,0.64,-1.053,-0.212,0.063,-0.257,0.038,0.012,-0.155,2569.9,4,0,2,4,0,7,17,0.708,3,24,0.085,5.059,13.0,10.0,10.0
161,-0.849,-0.226,-0.498,0.14,0.379,-0.872,-0.651,-0.436,-0.077,-0.041,0.883,-0.622,-0.212,0.063,-0.257,0.038,0.012,-0.155,2614.0,4,0,2,4,0,7,17,0.708,4,24,0.111,1.148,3.0,2.678,7.0
162,-0.87,-0.239,-0.585,0.16,0.354,-0.936,-0.83,-0.49,-0.348,0.117,0.64,-1.053,-0.212,0.063,-0.257,0.038,0.012,-0.155,2566.0,4,0,2,4,0,7,17,0.708,3,24,0.108,1.169,3.0,5.846,15.0
163,-0.854,-0.147,-0.482,0.144,0.365,-0.848,-0.651,-0.436,-0.077,-0.041,0.883,-0.622,-0.212,0.063,-0.257,0.038,0.012,-0.155,2631.9,3,0,2,3,0,7,17,0.708,4,24,0.119,3.04,8.0,7.219,19.0
164,-0.929,0.061,-0.762,0.2,0.099,-0.953,-0.91,0.058,-0.55,0.152,0.163,-0.993,-0.132,0.094,-0.15,0.025,-0.014,-0.11,3838.9,5,0,1,7,2,16,21,0.568,2,37,-0.072,0.26,1.0,0.26,1.0
165,-0.956,0.054,-0.889,0.219,0.052,-1.012,-1.022,0.181,-0.887,0.23,-0.066,-1.238,-0.218,0.037,-0.171,0.062,-0.03,-0.219,2865.4,3,-1,1,5,2,13,15,0.536,0,28,-0.057,0.698,2.0,0.698,2.0
166,-0.87,-0.241,-0.592,0.16,0.343,-0.947,-0.707,-0.482,-0.541,0.03,0.776,-0.862,-0.212,0.063,-0.257,0.038,0.012,-0.155,2566.0,4,0,2,4,0,7,17,0.708,3,24,0.117,2.728,7.0,5.456,14.0
167,-0.861,-0.237,-0.602,0.155,0.346,-0.933,-0.707,-0.482,-0.541,0.03,0.776,-0.862,-0.212,0.063,-0.257,0.038,0.012,-0.155,2580.0,4,0,2,4,0,7,17,0.708,3,24,0.125,1.938,5.0,5.426,14.0
168,-0.866,-0.062,-0.684,0.151,0.235,-0.929,-0.707,-0.482,-0.541,0.03,0.776,-0.862,-0.212,0.063,-0.257,0.038,0.012,-0.155,2586.0,4,0,2,4,0,9,15,0.625,3,24,0.091,2.707,7.0,1.933,5.0
169,-0.882,0.01,-0.681,0.158,0.185,-0.977,-0.707,-0.482,-0.541,0.03,0.776,-0.862,-0.212,0.063,-0.257,0.038,0.012,-0.155,2571.9,3,0,2,3,0,9,15,0.625,3,24,0.11,10.498,27.0,30.328,78.0
170,-0.919,0.103,-0.704,0.198,0.11,-0.93,-1.013,0.411,-0.405,0.208,-0.198,-1.116,-0.132,0.094,-0.15,0.025,-0.014,-0.11,3871.9,6,0,1,7,1,16,21,0.568,3,37,-0.089,10.0,10.0,2.583,10.0
171,-0.887,0.149,-0.862,0.166,0.133,-0.826,-0.896,0.148,-1.072,0.145,0.231,-0.937,-0.22,0.026,-0.2,0.059,-0.014,-0.228,2946.4,4,-1,1,6,2,14,13,0.481,0,27,-0.134,16.97,50.0,4.412,13.0
172,-0.869,-0.222,-0.731,0.15,0.409,-0.968,-0.751,-0.499,-0.495,0.052,0.763,-0.931,-0.601,0.018,-0.589,0.141,0.1,-0.705,1370.2,1,0,0,1,0,2,11,0.846,1,13,0.263,80.28,110.0,10.0,10.0
173,-0.759,0.064,-0.654,0.075,0.236,-0.695,-0.828,-0.261,-1.078,0.135,0.347,-0.888,-0.445,0.078,-0.461,0.006,0.217,-0.359,1504.2,1,1,1,2,1,4,9,0.692,2,13,0.113,5.0,7.521,10.0,15.042
174,-0.931,0.109,-0.817,0.201,0.044,-0.94,-1.067,0.374,-0.833,0.281,-0.253,-1.304,-0.21,0.025,-0.192,0.056,-0.013,-0.218,2895.4,3,0,1,5,2,13,15,0.536,1,28,-0.044,2.763,8.0,1.382,4.0
175,-0.863,-0.252,-0.689,0.165,0.383,-0.938,-0.705,-0.473,-0.505,0.032,0.828,-0.809,-0.235,0.046,-0.231,0.054,-0.003,-0.204,2560.0,4,0,2,4,0,7,17,0.708,2,24,0.1,0.781,2.0,12.5,32.0
176,-0.906,-0.136,-0.729,0.174,0.347,-1.08,-0.749,-0.49,-0.459,0.054,0.815,-0.878,-0.601,0.018,-0.589,0.141,0.1,-0.705,1343.1,0,0,0,0,0,2,11,0.846,1,13,0.318,47.651,64.0,10.0,10.0
177,-0.826,0.131,-0.917,0.098,0.223,-0.852,-0.915,0.436,-0.514,0.125,-0.017,-0.947,-0.418,-0.112,-0.596,0.044,0.22,-0.366,1544.3,2,0,2,2,0,5,9,0.643,1,14,0.054,10.361,16.0,41.443,64.0
178,-0.864,-0.069,-0.655,0.183,0.424,-0.812,-0.7,-0.477,-0.468,0.033,0.885,-0.637,-0.661,0.242,-0.452,0.178,-0.058,-0.641,1422.1,1,0,0,1,0,3,10,0.769,1,13,0.122,1.9,2.702,7.9,11.235
179,-0.903,-0.006,-0.942,0.176,0.189,-0.947,-0.823,0.15,-0.985,0.115,0.264,-0.666,-0.417,-0.107,-0.576,0.045,0.249,-0.337,1458.2,3,1,2,3,0,5,9,0.643,0,14,-0.044,3.75,5.468,15.0,21.873
180,-0.889,0.05,-0.556,0.143,0.196,-0.998,-0.69,0.091,-0.356,-0.029,0.523,-0.556,-0.322,0.042,-0.223,0.037,0.061,-0.314,1911.8,1,0,1,1,0,5,13,0.722,3,18,0.226,16.0,30.589,0.6,1.147
181,-0.807,-0.121,-0.745,0.125,0.388,-0.86,-0.934,-0.32,-0.574,0.18,0.284,-1.166,-0.445,0.078,-0.461,0.006,0.217,-0.359,1449.2,2,0,1,2,0,3,10,0.769,2,13,0.152,0.6,0.87,1.5,2.174
182,-0.797,0.08,-0.34,0.096,0.148,-0.763,-0.782,-0.132,0.254,0.072,0.25,-0.616,-0.487,0.066,-0.582,0.074,0.05,-0.563,1605.2,1,1,1,2,1,4,10,0.714,3,14,0.03,9.345,15.0,6.23,10.0
183,-0.742,0.107,-0.365,0.057,0.198,-0.684,-0.617,-0.144,-0.016,-0.037,0.504,-0.419,-0.548,0.075,-0.655,0.083,0.057,-0.633,1548.1,1,1,1,2,1,4,9,0.692,3,13,0.02,10.0,10.0,16.149,25.0
184,-0.834,0.128,-0.655,0.12,0.122,-0.955,-0.927,-0.017,-1.127,0.201,0.122,-1.279,-0.445,0.078,-0.461,0.006,0.217,-0.359,1435.1,1,0,1,1,0,4,9,0.692,2,13,0.212,6.968,10.0,10.452,15.0
185,-0.819,0.007,-0.555,0.129,0.142,-0.988,-0.773,0.045,-0.564,0.1,0.121,-1.104,-0.516,-0.158,-0.651,0.085,0.249,-0.522,1444.1,1,0,1,1,0,3,10,0.769,2,13,0.226,0.692,1.0,10.387,15.0
186,-0.887,-0.024,-1.007,0.175,0.274,-0.968,-0.961,0.03,-0.942,0.226,0.159,-1.127,-0.515,-0.152,-0.629,0.086,0.282,-0.489,1340.2,1,0,1,1,0,3,10,0.769,0,13,0.226,2.328,3.12,10.0,10.0
187,-0.871,-0.224,-0.886,0.171,0.433,-0.973,-0.92,-0.489,-0.628,0.215,0.57,-1.141,-0.515,-0.152,-0.629,0.086,0.282,-0.489,1350.2,1,0,1,1,0,2,11,0.846,0,13,0.241,1.155,1.56,2.311,3.12
188,-0.773,-0.186,-0.652,0.067,0.481,-0.756,-0.901,0.078,-0.076,0.101,0.204,-0.874,-0.454,-0.275,-0.555,0.044,0.407,-0.517,1475.3,2,0,1,2,0,3,10,0.769,2,13,0.188,2.115,3.12,4.236,6.25
189,-0.753,-0.169,-0.629,0.06,0.546,-0.668,-0.855,0.104,-0.086,0.08,0.269,-0.753,-0.451,-0.264,-0.51,0.046,0.472,-0.451,1489.3,2,0,1,2,0,3,10,0.769,2,13,0.156,1.047,1.56,2.095,3.12
190,-0.794,-0.198,-0.958,0.116,0.504,-0.812,-0.961,0.03,-0.942,0.226,0.159,-1.127,-0.451,-0.264,-0.51,0.046,0.472,-0.451,1421.3,2,0,1,2,0,3,10,0.769,0,13,0.144,1.098,1.56,2.195,3.12
191,-0.641,-0.174,-0.676,-0.008,0.634,-0.409,-0.763,-0.195,-0.139,0.012,0.496,-0.529,-0.326,-0.086,-0.554,-0.023,0.473,-0.17,1609.5,4,1,2,4,0,4,9,0.692,3,13,-0.004,1.938,3.12,10.0,10.0
192,-0.829,0.034,-0.592,0.121,0.179,-0.798,-0.99,-0.239,-0.772,0.245,0.145,-1.032,-0.421,0.055,-0.404,0.017,0.157,-0.387,1547.3,1,1,1,2,1,4,10,0.714,2,14,0.103,5.17,8.0,40.07,62.0
193,-0.858,-0.002,-0.607,0.14,0.163,-0.983,-0.934,-0.32,-0.574,0.18,0.284,-1.166,-0.564,0.226,-0.689,0.108,0.0,-0.692,1405.1,1,0,0,1,0,3,10,0.769,2,13,0.245,34.161,48.0,34.161,48.0
194,-0.788,0.28,-0.701,0.076,0.125,-0.844,-0.812,0.341,-0.77,0.071,0.135,-0.916,-0.478,0.055,-0.729,0.052,0.183,-0.476,1492.1,1,0,1,1,0,5,8,0.615,2,13,0.135,10.723,16.0,24.127,36.0
195,-0.832,0.019,-0.455,0.099,0.239,-0.918,-0.93,-0.302,-0.502,0.183,0.387,-1.06,-0.55,0.057,-0.334,0.074,0.091,-0.554,1452.1,1,0,1,1,0,3,10,0.769,3,13,0.184,6.887,10.0,17.216,25.0
196,-0.799,0.28,-0.505,0.073,0.12,-0.863,-0.81,0.35,-0.734,0.072,0.186,-0.863,-0.523,0.068,-0.363,0.06,0.1,-0.511,1498.0,1,0,1,1,0,5,8,0.615,3,13,0.111,6.676,10.0,13.351,20.0
197,-0.803,-0.07,-0.633,0.119,0.454,-0.864,-0.751,-0.499,-0.495,0.052,0.763,-0.931,-0.409,0.096,-0.469,0.035,0.356,-0.32,1462.2,1,0,1,1,0,3,10,0.769,2,13,0.183,12.5,18.278,6.25,9.139
198,-0.937,-0.014,-0.929,0.2,0.19,-1.212,-0.852,-0.571,-0.949,0.145,0.592,-1.293,-0.563,0.231,-0.667,0.108,0.033,-0.659,1311.1,0,0,0,0,0,3,10,0.769,0,13,0.305,12.5,16.389,6.25,8.194
199,-0.946,0.056,-0.886,0.208,0.083,-0.985,-0.956,-0.115,-0.937,0.202,0.216,-1.118,-0.218,0.052,-0.141,0.066,-0.027,-0.212,3089.7,3,-1,-1,5,2,13,17,0.567,0,30,-0.062,10.0,10.0,12.5,38.612
